VS,Sol,Ky,May,Axl,Chipp,Potemkin,Faust,Millia,Zato-1,Ramlethal,Leo,Nagoriyuki,Giovanna,Anji,I-No,Goldlewis,Jack-O',Happy Chaos,Baiken,Testament,Bridget,Sin
Sol,50.0,46.0,51.0,37.0,50.0,62.0,48.0,45.0,53.0,68.0,35.0,42.0,53.0,41.0,48.0,40.0,38.0,52.0,48.0,51.0,66.0,69.0
Ky,54.0,50.0,60.0,43.0,40.0,57.0,59.0,53.0,42.0,50.0,61.0,35.0,53.0,49.0,53.0,35.0,52.0,46.0,62.0,53.0,66.0,64.0
May,49.0,40.0,50.0,51.0,33.0,60.0,56.0,49.0,29.0,47.0,30.0,43.0,52.0,37.0,49.0,46.0,62.0,50.0,46.0,55.0,72.0,67.0
Axl,63.0,57.0,49.0,50.0,32.0,64.0,66.0,47.0,54.0,54.0,43.0,64.0,41.0,34.0,60.0,38.0,68.0,53.0,43.0,74.0,72.0,70.0
Chipp,50.0,60.0,67.0,68.0,50.0,69.0,67.0,58.0,44.0,56.0,62.0,45.0,69.0,71.0,68.0,59.0,53.0,34.0,52.0,59.0,62.0,71.0
Potemkin,38.0,43.0,40.0,36.0,31.0,50.0,51.0,49.0,39.0,50.0,28.0,45.0,46.0,53.0,53.0,42.0,39.0,25.0,45.0,48.0,54.0,63.0
Faust,52.0,41.0,44.0,34.0,33.0,49.0,50.0,43.0,38.0,46.0,45.0,49.0,33.0,34.0,57.0,50.0,50.0,28.0,56.0,53.0,78.0,63.0
Millia,55.0,47.0,51.0,53.0,42.0,51.0,57.0,50.0,38.0,49.0,47.0,49.0,73.0,62.0,64.0,39.0,38.0,35.0,63.0,58.0,60.0,62.0
Zato-1,47.0,58.0,71.0,46.0,56.0,61.0,62.0,62.0,50.0,54.0,53.0,51.0,65.0,78.0,75.0,72.0,46.0,52.0,80.0,65.0,56.0,54.0
Ramlethal,32.0,50.0,53.0,46.0,44.0,50.0,54.0,51.0,46.0,50.0,49.0,38.0,38.0,57.0,43.0,37.0,39.0,29.0,50.0,64.0,59.0,61.0
Leo,65.0,39.0,70.0,57.0,38.0,72.0,55.0,53.0,47.0,51.0,50.0,45.0,71.0,63.0,52.0,52.0,49.0,47.0,62.0,45.0,65.0,66.0
Nagoriyuki,58.0,65.0,57.0,36.0,55.0,55.0,51.0,51.0,49.0,62.0,55.0,50.0,56.0,68.0,59.0,52.0,60.0,43.0,67.0,67.0,60.0,75.0
Giovanna,47.0,47.0,48.0,59.0,31.0,54.0,67.0,27.0,35.0,62.0,29.0,44.0,50.0,55.0,24.0,39.0,41.0,50.0,55.0,45.0,67.0,54.0
Anji,59.0,51.0,63.0,66.0,29.0,47.0,66.0,38.0,22.0,43.0,37.0,32.0,45.0,50.0,52.0,47.0,37.0,23.0,63.0,53.0,72.0,67.0
I-No,52.0,47.0,51.0,40.0,32.0,47.0,43.0,36.0,25.0,57.0,48.0,41.0,76.0,48.0,50.0,31.0,39.0,23.0,58.0,38.0,71.0,58.0
Goldlewis,60.0,65.0,54.0,62.0,41.0,58.0,50.0,61.0,28.0,63.0,48.0,48.0,61.0,53.0,69.0,50.0,45.0,28.0,72.0,59.0,66.0,66.0
Jack-O',62.0,48.0,38.0,32.0,47.0,61.0,50.0,62.0,54.0,61.0,51.0,40.0,59.0,63.0,61.0,55.0,50.0,25.0,66.0,69.0,68.0,73.0
Happy Chaos,48.0,54.0,50.0,47.0,66.0,75.0,72.0,65.0,48.0,71.0,53.0,57.0,50.0,77.0,77.0,72.0,75.0,50.0,77.0,81.0,57.0,57.0
Baiken,52.0,38.0,54.0,57.0,48.0,55.0,44.0,37.0,20.0,50.0,38.0,33.0,45.0,37.0,42.0,28.0,34.0,23.0,50.0,63.0,65.0,60.0
Testament,49.0,47.0,45.0,26.0,41.0,52.0,47.0,42.0,35.0,36.0,55.0,33.0,55.0,47.0,62.0,41.0,31.0,19.0,37.0,50.0,63.0,62.0
Bridget,34.0,34.0,28.0,28.0,38.0,46.0,22.0,40.0,44.0,41.0,35.0,40.0,33.0,28.0,29.0,34.0,32.0,43.0,35.0,37.0,50.0,55.0
Sin,31.0,36.0,33.0,30.0,29.0,37.0,37.0,38.0,46.0,39.0,34.0,25.0,46.0,33.0,42.0,34.0,27.0,43.0,40.0,38.0,45.0,50.0
